playerid,Name
1011348,Nolan Ryan
384,Chuck Finley
1014174,Mike Witt
4235,Jered Weaver
1012818,Frank Tanana
1507,John Lackey
1007323,Mark Langston
1002130,Dean Chance
1008382,Kirk McCaskill
1000012,Jim Abbott
3200,Ervin Santana
40,Jarrod Washburn
1008799,Andy Messersmith
1298,Kelvim Escobar
1008310,Rudy May
9784,Garrett Richards
1014410,Geoff Zahn
1001590,George Brunet
1757,Dan Haren
1012007,Bill Singer
1014272,Clyde Wright
1001098,Bert Blyleven
1004234,Ken Forsch
4776,Matt Shoemaker
1009542,Fred Newman
3580,C.J. Wilson
1008532,Jim McGlothlin
10190,Tyler Skaggs
1008344,Ken McBride
375,Bartolo Colon
27,Ramon Ortiz
15423,Andrew Heaney
1006515,Tommy John
4366,Joe Saunders
1004376,Dave Frost
1004037,Ed Figueroa
1005467,Paul Hartzell
1009376,Tom Murphy
1007757,Marcelino Lopez
1011168,Ron Romanick
1007453,Don Lee
33,Scott Schoeneweis
1006978,Bruce Kison
1000791,Bo Belinsky
1000003,Don Aase
1012745,Don Sutton
1005827,Ken Hill
1003278,Jason Dickson
1005480,Andy Hassler
1004979,Eli Grba
1007026,Chris Knapp
34,Aaron Sele
4026,Hector Santiago
1012054,Jim Slaton
1004306,Willie Fraser
1002304,Rickey Clark
571,Roy Oswalt
1011348,Nolan Ryan
1010913,J.R. Richard
1003288,Larry Dierker
574,Shane Reynolds
1014071,Don Wilson
1011691,Mike Scott
1009582,Joe Niekro
2586,Wandy Rodriguez
9434,Dallas Keuchel
430,Mike Hampton
815,Roger Clemens
1003950,Turk Farrell
1007031,Bob Knepper
1004234,Ken Forsch
1002853,Mike Cuellar
1163,Darryl Kile
8700,Justin Verlander
13125,Gerrit Cole
1001573,Bob Bruce
568,Wade Miller
1006477,Ken Johnson
1003473,Doug Drabek
840,Andy Pettitte
14120,Lance McCullers Jr.
7531,Collin McHugh
1011031,Dave Roberts
1004748,Dave Giusti
1005374,Pete Harnisch
1010460,Mark Portugal
1012745,Don Sutton
1005983,Chris Holt
1000970,Jack Billingham
9492,Bud Norris
475,Jose Lima
1007512,Denny Lemaster
1002996,Danny Darwin
1003228,Jim Deshaies
1010853,Jerry Reuss
1009651,Don Nottebart
1011297,Vern Ruhle
4676,Charlie Morton
1000266,Joaquin Andujar
962,Brett Myers
1005054,Tom Griffin
76,Greg Swindell
5401,Brad Peacock
573,Tim Redding
1001057,Wade Blasingame
426,Scott Elarton
1007521,Mark Lemongello
480,Brian Moehler
7410,J.A. Happ
7541,Lucas Harrell
6283,Scott Feldman
7593,Jordan Lyles
7754,Mike Fiers
1529,Brandon Backe
1010385,Eddie Plank
1005099,Lefty Grove
1000827,Chief Bender
1013467,Rube Waddell
1001094,Vida Blue
1006199,Catfish Hunter
921,Tim Hudson
1011174,Eddie Rommel
1013501,Rube Walberg
944,Barry Zito
1012519,Dave Stewart
1006785,Alex Kellner
932,Mark Mulder
1003633,George Earnshaw
1005989,Ken Holtzman
1011804,Bobby Shantz
1005431,Slim Harriss
1002583,Jack Coombs
1007319,Rick Langford
1010605,Jack Quinn
1772,Rich Harden
1757,Dan Haren
4849,Joe Blanton
12768,Sonny Gray
1009470,Rollie Naylor
1004170,Jesse Flores
8223,Brett Anderson
1009458,Jim Nash
1003343,Chuck Dobson
1009122,Mike Moore
1005684,Ray Herbert
1002222,Russ Christopher
1001754,Joe Bush
1001442,Lou Brissie
1004270,Dick Fowler
1011725,Diego Segui
1010216,Scott Perry
1009546,Bobo Newsom
1013750,Bob Welch
1003616,Jimmy Dygert
1009726,Blue Moon Odom
1002055,George Caster
8099,Dallas Braden
1009637,Mike Norris
1008103,Johnny Marcum
1004969,Dolly Gray
1006858,Matt Keough
15873,Sean Manaea
1002989,Ron Darling
1007981,Roy Mahaffey
1005686,Gil Heredia
1004556,Ned Garver
1277,Kenny Rogers
1002427,Joe Coleman
1010150,Orlando Pena
1009826,Steve Ontiveros
7448,Gio Gonzalez
1003707,Howard Ehmke
1005485,Bob Hasty
1008102,Phil Marchildon
375,Bartolo Colon
1002372,Andy Coakley
6249,Trevor Cahill
1002942,Bud Daley
926,Cory Lidle
1008383,Steve McCatty
1005591,Fred Heimach
4897,Scott Kazmir
1007143,Harry Krause
1001793,Harry Byrd
1014193,Roger Wolff
12304,Chris Bassitt
1013422,Rube Vickers
1006938,Brian Kingman
1012929,Ralph Terry
1011224,Buck Ross
1010661,Ed Rakow
1006773,Harry Kelley
4913,Jarrod Parker
1007146,Lew Krausse
1005652,Weldon Henley
7608,Tommy Milone
1005423,Lum Harris
1009174,Cy Morgan
1002388,Chris Codiroli
1014368,Curt Young
1006001,Bob Hooper
1009419,Elmer Myers
1014170,Bobby Witt
329,Jimmy Haynes
1009828,Mike Oquist
1006467,Jing Johnson
1013917,Dave Wickersham
1000755,Bill Beckmann
1010536,Ariel Prieto
1011825,Bob Shawkey
1003289,Bill Dietrich
1012966,Bud Thomas
1000396,Johnny Babich
1010459,Arnie Portocarrero
1003080,Storm Davis
1014117,Snake Wiltse
1001010,Don Black
349,Jose Rijo
15514,Kendall Graveman
1007175,Bill Krueger
1003328,Art Ditmar
1004305,Chick Fraser
1011538,Carl Scheib
1003474,Moe Drabowsky
1005271,Dave Hamilton
1009126,Roy Moore
1006740,Dave Keefe
1009732,John O'Donoghue
1010471,Nels Potter
1011926,Bill Shores
1009505,Lynn Nelson
1004348,Marion Fricano
1001822,Sugar Cain
1014305,Weldon Wyckoff
1001494,Boardwalk Brown
1001398,Rube Bressler
1284,Todd Van Poppel
1006048,Byron Houck
1013523,Jerry Walker
1303,Roy Halladay
1012532,Dave Stieb
1006885,Jimmy Key
1002255,Jim Clancy
1005162,Juan Guzman
145,Pat Hentgen
815,Roger Clemens
855,David Wells
13431,Marcus Stroman
75,Todd Stottlemyre
1298,Kelvim Escobar
7410,J.A. Happ
1000122,Doyle Alexander
512,A.J. Burnett
1007431,Luis Leal
1292,Chris Carpenter
3403,Ricky Romero
9346,Brandon Morrow
225,Mark Buehrle
1118,Marco Estrada
6204,Shaun Marcum
1007511,Dave Lemanczyk
1245,R.A. Dickey
1310,Esteban Loaiza
883,Al Leiter
1489,Josh Towers
833,Ted Lilly
1009211,Jack Morris
8600,Dustin McGowan
1004898,Jim Gott
11490,Aaron Sanchez
1004133,Mike Flanagan
1013281,Tom Underwood
10732,Drew Hutchison
1006380,Jesse Jefferson
1190,Woody Williams
2660,Brett Cecil
3688,Jesse Litsch
2060,Gustavo Chacin
1004558,Jerry Garvin
1002106,John Cerutti
1012299,Warren Spahn
104,Greg Maddux
1009564,Kid Nichols
1009583,Phil Niekro
115,John Smoltz
90,Tom Glavine
1013908,Jim Whitney
1014042,Vic Willis
1011284,Dick Rudolph
1002293,John Clarkson
1012300,Al Spalding
1001662,Lew Burdette
1011373,Johnny Sain
1001158,Tommy Bond
1010773,Ron Reed
1706,Steve Avery
1012547,Jack Stivetts
1001634,Charlie Buffinton
921,Tim Hudson
106,Kevin Millwood
1007988,Rick Mahler
1006363,Pat Jarvis
1013252,Lefty Tyler
1009230,Carl Morton
1014380,Irv Young
6797,Julio Teheran
1010631,Charley Radbourn
1006369,Al Javery
1000566,Jesse Barnes
1001348,Ed Brandt
1012389,Harry Staley
1012218,Zane Smith
1013089,Jim Tobin
1010376,Togie Pittinger
1007904,Danny MacFayden
1012100,Bob Smith
1007492,Charlie Leibrandt
1000947,Vern Bickford
1007512,Denny Lemaster
1009485,Art Nehf
1007589,Ted Lewis
1000600,Red Barrett
1001637,Bob Buhl
1014405,Tom Zachary
1010178,Hub Perdue
1002359,Tony Cloninger
1008249,Al Mattern
441,Denny Neagle
1001921,Ben Cantwell
1003317,Bill Dineen
5556,Jair Jurrjens
1004649,Charlie Getzein
1006477,Ken Johnson
1010185,Pascual Perez
1006164,Tom Hughes
1004609,Joe Genewich
1010650,Pat Ragan
179,John Burkett
1000259,Nate Andrews
9129,Tommy Hanson
10811,Mike Foltynewicz
1004045,Dana Fillingim
1012565,George Stone
1011330,Dick Ruthven
1002507,Gene Conley
1002588,Johnny Cooney
1001499,Buster Brown
1000122,Doyle Alexander
1012729,Max Surkont
1012191,Pete Smith
13781,Alex Wood
1000933,Huck Betts
10021,Mike Minor
1006344,Bill James
9417,Kris Medlen
1011683,Jack Scott
430,Mike Hampton
1005749,Otto Hess
1007612,Vive Lindaman
453,John Thomson
1007014,Fred Klobedanz
1008685,Hugh McQuillan
1004018,Lou Fette
199,Derek Lowe
1001123,Tommy Boggs
1004297,Fred Frankhouse
1012695,Jim Sullivan
1011728,Socks Seibold
1013229,Jim Turner
1002598,Mort Cooper
1009738,Joe Oeschger
1003989,George Ferguson
1000277,Johnny Antonelli
1011819,Bob Shaw
1008799,Andy Messersmith
1009970,David Palmer
1012295,Bill Sowders
1000855,Larry Benton
1005637,Bob Hendley
1124,Russ Ortiz
1007942,Kid Madden
1013682,Mule Watson
439,Kent Mercker
1011391,Manny Salvo
1008125,Rube Marquard
1013448,Bill Voiselle
1001928,Buzz Capra
1012268,Eddie Solomon
1014089,Jim Wilson
1010262,Big Jeff Pfeffer
1012480,Bill Stemmeyer
1008651,Craig McMurtry
1003414,Gus Dorner
1003283,Walt Dickson
1001901,Rick Camp
1009557,Chet Nichols
1011920,Milt Shoffner
1009989,Milt Pappas
1008700,Larry McWilliams
1010462,Bill Posedel
1008268,Rick Matula
1002791,Ray Crone
110,Horacio Ramirez
1005430,Roric Harrison
1004195,Curry Foley
1009458,Jim Nash
1011363,Bob Sadowski
1013792,Johnny Werts
1008011,John Malarkey
1011622,Ron Schueler
1006373,Joey Jay
1003815,Dick Errickson
1013947,Kaiser Wilhelm
1005004,Kent Greenfield
1008661,Tim McNamara
1013965,Carl Willey
1004068,Hank Fischer
1004129,Patsy Flaherty
1002899,Cliff Curtis
1008065,Jack Manning
1001495,Bob Brown
1014276,Ed Wright
1004305,Chick Fraser
1001057,Wade Blasingame
1010382,Juan Pizarro
1007328,Johnny Lanning
710,Ben Sheets
1005799,Teddy Higuera
1005172,Moose Haas
1001212,Chris Bosio
8173,Yovani Gallardo
1001830,Mike Caldwell
1012054,Jim Slaton
1013727,Bill Wegman
1009465,Jaime Navarro
1012279,Lary Sorensen
1002409,Jim Colborn
1244,Doug Davis
1006703,Scott Karl
1653,Cal Eldred
1701,Chris Capuano
10547,Jimmy Nelson
1010074,Marty Pattin
13183,Zach Davies
4635,Dave Bush
1008454,Ben McDonald
1012745,Don Sutton
1007696,Skip Lockwood
1285,Steve Woodard
7754,Mike Fiers
6895,Chase Anderson
1013461,Pete Vuckovich
1009594,Juan Nieves
3340,Matt Garza
7738,Wily Peralta
1000365,Jerry Augustine
871,Jeff D'Amico
6204,Shaun Marcum
1002127,Bill Champion
1118,Marco Estrada
976,Randy Wolf
739,Kyle Lohse
1008400,Bob McClure
329,Jimmy Haynes
707,Glendon Rusch
1001161,Ricky Bones
4279,Manny Parra
5702,Junior Guerra
1002996,Danny Darwin
2141,Chris Narveson
1013161,Bill Travers
715,Jamey Wright
1010026,Bill Parsons
633,Jeff Suppan
1000364,Don August
1007146,Lew Krausse
1001293,Gene Brabender
1004662,Bob Gibson
2233,Adam Wainwright
1003106,Dizzy Dean
1005209,Jesse Haines
1001375,Harry Brecheen
1007325,Max Lanier
1002598,Mort Cooper
1006304,Larry Jackson
1292,Chris Carpenter
1003336,Bill Doak
1010423,Howie Pollet
1004233,Bob Forsch
1006943,Silver King
1172,Matt Morris
1011869,Bill Sherdel
1011385,Slim Sallee
1001964,Steve Carlton
1002026,Bob Caruthers
1011980,Curt Simmons
1005229,Bill Hallahan
1001383,Ted Breitenstein
1004266,Dave Foutz
1009015,Vinegar Bend Mizell
1012547,Jack Stivetts
1008528,Jumbo McGinnis
1005184,Harvey Haddix
1012941,Bob Tewksbury
1009320,Red Munger
1013652,Ray Washburn
1001463,Ernie Broglio
1012388,Gerry Staley
1001371,Al Brazle
1007973,Joe Magrane
1003168,Jose DeLeon
1000266,Joaquin Andujar
1013215,John Tudor
2520,Lance Lynn
1014369,Cy Young
8137,Jaime Garcia
1006505,Syl Johnson
1010878,Flint Rhem
1000128,Pete Alexander
1003282,Murry Dickson
1002695,Danny Cox
1013637,Lon Warneke
11682,Carlos Martinez
1002347,Reggie Cleveland
14078,Michael Wacha
1010487,Jack Powell
1003110,Paul Dean
1190,Woody Williams
1011360,Ray Sadecki
1001953,Tex Carleton
1014155,Rick Wise
1005517,Pink Hawley
1001432,Nelson Briles
299,Donovan Osborne
739,Kyle Lohse
1163,Darryl Kile
1013461,Pete Vuckovich
1013735,Bob Weiland
1144,Andy Benes
1006139,Nat Hudson
1006590,Sam Jones
1008489,Chappie McFarland
1008534,Lynn McGlothen
1000210,Red Ames
1010688,Toad Ramsey
1010412,Tom Poholsky
1006699,Ed Karger
75,Todd Stottlemyre
1004770,Kid Gleason
1005141,Harry Gumbert
1003224,Paul Derringer
1000767,Fred Beebe
17479,Jack Flaherty
1002122,Elton Chamberlain
1003210,John Denny
1007847,Johnny Lush
1008507,Bill McGee
9803,Miles Mikolas
1008705,Lee Meadows
1009291,Tony Mullane
1003043,Curt Davis
1009816,Mike O'Neill
1005371,Bob Harmon
952,Rheal Cormier
1003373,Red Donahue
1012670,Willie Sudhoff
1010264,Jeff Pfeffer
1009564,Kid Nichols
1010704,Eric Rasmussen
1007338,Dave LaPoint
1094,Joel Pineiro
1013871,Ernie White
1012879,Jack Taylor
1005061,Burleigh Grimes
1005827,Ken Hill
633,Jeff Suppan
1013508,Bill Walker
1012104,Bryn Smith
1000600,Red Barrett
265,Alan Benes
1012449,Bill Steele
1006155,Jim Hughey
1000735,Johnny Beazley
1010731,Bugs Raymond
1005438,Bill Hart
10130,Mike Leake
1004867,Marv Goodwin
1008536,Stoney McGlynn
1006542,Cowboy Jones
1001693,Ken Burkhart
1012878,Jack Taylor
1005072,Dan Griner
1008441,Lindy McDaniel
1002274,Dad Clarkson
412,Jake Westbrook
1008196,Silvio Martinez
1011934,Clyde Shoun
1006367,Larry Jaster
1008237,Greg Mathews
1006288,Al Jackson
1185,Garrett Stephenson
1008998,Clarence Mitchell
1009771,Omar Olivares
1010853,Jerry Reuss
1013962,Ted Wilks
1012288,Allen Sothoron
1010522,Joe Presko
1010206,Pol Perritt
1004246,Alan Foster
1010810,Art Reinhart
10197,Shelby Miller
526,Braden Looper
1012652,John Stuper
1009939,Gene Packard
1013729,Herm Wehmeier
1014340,Stan Yerkes
1709,Todd Wellemeyer
1005380,Jack Harper
105,Jason Marquis
1009360,Ed Murphy
1002905,John Curtis
1006979,Bill Kissinger
1013134,Mike Torrez
1011649,Ferdie Schupp
1003910,Pete Falcone
1010217,Bill Pertica
1004650,Rube Geyer
932,Mark Mulder
1001499,Buster Brown
1012640,Johnny Stuart
1013675,Allen Watson
1008301,Jakie May
1006388,Fergie Jenkins
1010852,Rick Reuschel
1006235,Bill Hutchison
1001547,Mordecai Brown
1011307,Bob Rush
104,Greg Maddux
1011188,Charley Root
1013384,Hippo Vaughn
1000128,Pete Alexander
1005038,Clark Griffith
1010046,Claude Passeau
1002293,John Clarkson
305,Carlos Zambrano
1007447,Bill Lee
1002618,Larry Corcoran
1005303,Bill Hands
1013637,Lon Warneke
1008044,Pat Malone
1003754,Dick Ellsworth
12049,Kyle Hendricks
304,Kerry Wood
1004338,Larry French
1009910,Orval Overall
1012734,Rick Sutcliffe
1005989,Ken Holtzman
1001752,Guy Bush
1012879,Jack Taylor
1010850,Ed Reulbach
4153,Jake Arrieta
1008980,Paul Minner
1001165,Bill Bonham
4930,Jon Lester
301,Mark Prior
1011585,Johnny Schmitz
1004808,Fred Goldsmith
287,Jon Lieber
517,Ryan Dempster
1010266,Jack Pfiester
1006304,Larry Jackson
1001038,Sheriff Blake
1014315,Hank Wyse
1005638,Claude Hendrix
1007352,Terry Larkin
1001847,Nixey Callahan
180,Frank Castillo
1014433,George Zettlein
1006005,Burt Hooton
833,Ted Lilly
1007185,Mike Krukow
1012824,Kevin Tapani
1005139,Ad Gumbert
1011422,Scott Sanderson
1003660,Dennis Eckersley
1005868,Glen Hobbie
271,Matt Clement
1002176,Larry Cheney
1009989,Milt Pappas
1013197,Steve Trout
1003436,Phil Douglas
1007836,Carl Lundgren
898,Steve Trachsel
1005182,Warren Hacker
1013738,Jake Weimer
1001729,Ray Burris
1003224,Paul Derringer
1013916,Bob Wicker
1001424,Buttons Briggs
1001208,Hank Borowy
1001941,Don Cardwell
1007284,Dennis Lamp
1012926,Adonis Terry
3254,Jeff Samardzija
1000118,Vic Aldridge
1007390,Jimmy Lavender
11423,Jose Quintana
1004559,Ned Garvin
1013252,Lefty Tyler
1009465,Jaime Navarro
1008416,Jim McCormick
3340,Matt Garza
1003810,Paul Erickson
1009790,Vern Olsen
1000484,Mark Baldwin
1006718,Tony Kaufmann
1007802,Pat Luby
1001953,Tex Carleton
1005829,Dave Hillman
1008763,Jock Menefee
67,Mike Morgan
1000951,Mike Bielecki
1001637,Bob Buhl
1007013,Johnny Klippstein
1000219,Bob Anderson
1012300,Al Spalding
1008522,Willie McGill
4538,Jason Hammel
1006182,Bert Humphries
1001603,Clay Bryant
4535,Randy Wells
1000998,Hi Bithorn
1008197,Speed Martin
9884,Travis Wood
1010423,Howie Pollet
1007169,Gus Krock
1010923,Lew Richie
1008534,Lynn McGlothen
1006590,Sam Jones
1010104,George Pearce
1013357,George Van Haltren
1005363,Mike Harkey
1012573,Steve Stone
1001307,George Bradley
1004356,Danny Friend
4806,Rich Hill
1003607,Frank Dwyer
1091,Jamie Moyer
1012912,John Tener
1006163,Tom Hughes
1003474,Moe Drabowsky
1009667,Rich Nye
1012100,Bob Smith
1013041,Walter Thornton
1008571,Harry McIntire
1001961,Hal Carlson
1007101,Cal Koonce
1006581,Percy Jones
1002416,King Cole
1007246,Doyle Lade
1011330,Dick Ruthven
1002195,Bob Chipman
1009866,Bob Osborn
1507,John Lackey
105,Jason Marquis
1006756,Vic Keen
1841,Edwin Jackson
1001646,Jim Bullinger
5905,Sean Marshall
1004251,Kevin Foster
1009582,Joe Niekro
1004305,Chick Fraser
1003511,Dick Drott
1009871,Tiny Osborne
1001213,Shawn Boskie
1002174,Virgil Cheeves
1009135,Jake Mooty
60,Randy Johnson
1692,Brandon Webb
73,Curt Schilling
9323,Patrick Corbin
1943,Zack Greinke
1757,Dan Haren
11486,Robbie Ray
46,Miguel Batista
6986,Ian Kennedy
646,Omar Daal
8779,Wade Miley
7146,Daniel Hudson
44,Brian Anderson
14862,Zack Godley
1244,Doug Davis
1144,Andy Benes
7312,Josh Collmenter
6249,Trevor Cahill
72,Armando Reynoso
4366,Joe Saunders
2036,Clayton Kershaw
1012745,Don Sutton
1003516,Don Drysdale
1013342,Dazzy Vance
1007124,Sandy Koufax
1013327,Fernando Valenzuela
1005741,Orel Hershiser
1011281,Nap Rucker
1005061,Burleigh Grimes
1010406,Johnny Podres
1009529,Don Newcombe
1013750,Bob Welch
1009878,Claude Osteen
1006005,Burt Hooton
1012926,Adonis Terry
1002315,Watty Clark
1009321,Van Mungo
642,Kevin Brown
1010853,Jerry Reuss
1006515,Tommy John
1008193,Ramon Martinez
1012007,Bill Singer
1003816,Carl Erskine
1010264,Jeff Pfeffer
1014304,Whit Wyatt
1006836,Brickyard Kennedy
666,Hideo Nomo
5842,Chad Billingsley
1011122,Preacher Roe
1267,Chan Ho Park
1283,Ismael Valdez
1010717,Doug Rau
1008125,Rube Marquard
1001811,Leon Cadore
14444,Hyun-Jin Ryu
199,Derek Lowe
1008799,Andy Messersmith
1005280,Luke Hamlin
1001343,Ralph Branca
1003043,Curt Davis
1001911,Tom Candiotti
1000789,Tim Belcher
1943,Zack Greinke
1002026,Bob Caruthers
3283,Hiroki Kuroda
1010452,Henry Porter
668,Odalis Perez
1012205,Sherry Smith
535,Brad Penny
1012464,Ed Stein
862,Pedro Astacio
1011291,Dutch Ruether
1010257,Jesse Petty
1005495,Joe Hatten
1005088,Kevin Gross
1000807,George Bell
1005782,Kirby Higbe
647,Darren Dreifort
1004122,Freddie Fitzsimmons
1014039,Stan Williams
1007699,Billy Loes
1003450,Al Downing
18498,Kenta Maeda
1010650,Pat Ragan
1006981,Frank Kitson
1003393,Bill Donovan
19374,Walker Buehler
1007779,Tom Lovett
1010140,Alejandro Pena
67,Mike Morgan
1005992,Rick Honeycutt
1006154,Jay Hughes
1002723,Roger Craig
1005020,Hal Gregg
1012817,Vito Tamulis
1003573,Jack Dunn
503,Jeff Weaver
1003741,Jumbo Elliott
1005364,John Harkins
1002176,Larry Cheney
1010887,Rick Rhoden
13781,Alex Wood
1012614,Elmer Stricklett
1008833,Russ Meyer
4806,Rich Hill
1011490,Doc Scanlan
1006580,Oscar Jones
1003003,Dan Daub
1007438,Tim Leary
1007722,Vic Lombardi
1008571,Harry McIntire
1004559,Ned Garvin
1008049,Al Mamaux
1010094,Harley Payne
1005542,Ed Head
1002039,Hugh Casey
1000831,Ray Benge
976,Randy Wolf
1004266,Dave Foutz
1013053,Sloppy Thurston
1010524,Tot Pressnell
1010850,Ed Reulbach
1008757,Rube Melton
1006160,Mickey Hughes
1008698,Doug McWeeny
1008998,Clarence Mitchell
1014331,Joe Yeager
1000541,Cy Barger
833,Ted Lilly
1013947,Kaiser Wilhelm
1008576,Doc McJames
1009756,Bob Ojeda
1010279,Ray Phelps
1009550,Doc Newton
1008452,Danny McDevitt
1003336,Bill Doak
1000571,Rex Barney
1007533,Dutch Leonard
1000140,Frank Allen
1005591,Fred Heimach
1008527,Joe McGinnity
